0xFFC0CB 0xFFB6C1 0xFF69B4 0xFF1493 0xC71585 0xFF00FF 0x800080 0xFFFF00 0x00FF00 0x00FFFF 0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
0xFFB6C1 0xFF69B4 0xFF1493 0xC71585 0xFF00FF 0x800080 0xFFFF00 0x00FF00 0x00FFFF 0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
0xFF69B4 0xFF1493 0xC71585 0xFF00FF 0x800080 0xFFFF00 0x00FF00 0x00FFFF 0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
0xFF1493 0xC71585 0xFF00FF 0x800080 0xFFFF00 0x00FF00 0x00FFFF 0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
0xC71585 0xFF00FF 0x800080 0xFFFF00 0x00FF00 0x00FFFF 0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
0xFF00FF 0x800080 0xFFFF00 0x00FF00 0x00FFFF 0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
0x800080 0xFFFF00 0x00FF00 0x00FFFF 0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
0xFFFF00 0x00FF00 0x00FFFF 0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
0x00FF00 0x00FFFF 0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
0x00FFFF 0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
0x0000FF 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3 0xD3D3D3
